#-----------------------------------------------------------------------------
# Date d'extraction : 24/04/2025 - 12h17 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     RCP2.6 : Emissions maîtrisées
#-----------------------------------------------------------------------------
# Période extraite : de 2006 à 2020
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     TAV : Température moyenne journalière (°C)
#     PN20MM : Nombre de jours de fortes précipitations (jour(s))
#     PQ90 : précipitations intenses (Q90) (mm)
#     PQ99 : précipitations extrêmes (Q99) (mm)
#     RR99 : nombre de jours de précipitations intenses (nombre de jours où on dépasse le Q99) (jour(s))
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Annee;TAV;PN20MM;PQ90;PQ99;RR99;
#-----------------------------------------------------------------------------
Point;Latitude;Longitude;Contexte;Annee;TAV;PN20MM;PQ90;PQ99;RR99;
12317;47.6297;-2.8297;RCP2.6;2010;12.3;6;7.53;23.49;5;
12317;47.6297;-2.8297;RCP2.6;2011;12.44;1;7.03;18.61;1;
12317;47.6297;-2.8297;RCP2.6;2012;12.92;3;6.3;19.32;3;
12317;47.6297;-2.8297;RCP2.6;2013;12.83;4;6.56;20.49;2;
12317;47.6297;-2.8297;RCP2.6;2014;12.73;6;6.03;22.97;5;
12317;47.6297;-2.8297;RCP2.6;2015;12.87;5;5.57;20.64;1;
12317;47.6297;-2.8297;RCP2.6;2016;13.11;8;7.89;24.58;7;
12317;47.6297;-2.8297;RCP2.6;2017;13.27;9;8.05;25.3;7;
12317;47.6297;-2.8297;RCP2.6;2018;12.24;8;9.13;22.91;5;
12317;47.6297;-2.8297;RCP2.6;2019;11.82;10;8.77;25.48;5;
12317;47.6297;-2.8297;RCP2.6;2020;11.84;10;6.46;23.49;7;
12318;47.6344;-2.7235;RCP2.6;2006;11.79;3;5.17;17.06;3;
12318;47.6344;-2.7235;RCP2.6;2007;12.5;7;6.13;22.88;4;
12318;47.6344;-2.7235;RCP2.6;2008;11.98;5;8.58;20.54;1;
12318;47.6344;-2.7235;RCP2.6;2009;12.97;4;6.98;20.55;2;
12318;47.6344;-2.7235;RCP2.6;2010;12.4;6;7.48;23.37;5;
12318;47.6344;-2.7235;RCP2.6;2011;12.54;1;6.99;18.49;1;
12318;47.6344;-2.7235;RCP2.6;2012;13.02;3;6.26;19.21;3;
12318;47.6344;-2.7235;RCP2.6;2013;12.93;4;6.52;20.37;2;
12318;47.6344;-2.7235;RCP2.6;2014;12.84;6;6;22.82;5;
12318;47.6344;-2.7235;RCP2.6;2015;12.99;5;5.54;20.55;1;
12318;47.6344;-2.7235;RCP2.6;2016;13.22;8;7.84;24.42;7;
12318;47.6344;-2.7235;RCP2.6;2017;13.38;9;7.99;25.14;7;
12318;47.6344;-2.7235;RCP2.6;2018;12.33;8;9.07;22.78;5;
12318;47.6344;-2.7235;RCP2.6;2019;11.93;9;8.71;25.32;5;
12318;47.6344;-2.7235;RCP2.6;2020;11.94;10;6.42;23.34;7;
12319;47.639;-2.6173;RCP2.6;2006;11.55;3;5.7;16.93;3;
12319;47.639;-2.6173;RCP2.6;2007;12.32;7;6.44;22.8;4;
12319;47.639;-2.6173;RCP2.6;2008;11.74;6;8.81;21.94;3;
12319;47.639;-2.6173;RCP2.6;2009;12.76;4;7.09;19.93;2;
12319;47.639;-2.6173;RCP2.6;2010;12.2;6;8.16;25.18;5;
12319;47.639;-2.6173;RCP2.6;2011;12.31;1;6.89;17.71;1;
12319;47.639;-2.6173;RCP2.6;2012;12.76;5;6.01;21.7;4;
12319;47.639;-2.6173;RCP2.6;2013;12.67;3;6.32;16.97;1;
12319;47.639;-2.6173;RCP2.6;2014;12.56;6;5.64;24.03;5;
12319;47.639;-2.6173;RCP2.6;2015;12.78;2;6.04;19.55;1;
12319;47.639;-2.6173;RCP2.6;2016;12.93;9;7.63;24.47;7;
12319;47.639;-2.6173;RCP2.6;2017;13.09;9;7.7;25.1;8;
12319;47.639;-2.6173;RCP2.6;2018;12.05;7;8.49;25.57;5;
12319;47.639;-2.6173;RCP2.6;2019;11.67;9;8.21;27.23;8;
12319;47.639;-2.6173;RCP2.6;2020;11.72;10;7.08;26.92;8;
12320;47.6434;-2.511;RCP2.6;2006;11.15;3;6.21;18.43;3;
12320;47.6434;-2.511;RCP2.6;2007;11.91;10;6.92;28.46;6;
12320;47.6434;-2.511;RCP2.6;2008;11.36;8;9.49;26.74;4;
12320;47.6434;-2.511;RCP2.6;2009;12.38;5;8.13;22.57;3;
12320;47.6434;-2.511;RCP2.6;2010;11.8;7;9.56;32.86;5;
12320;47.6434;-2.511;RCP2.6;2011;11.89;5;7.98;20.42;1;
12320;47.6434;-2.511;RCP2.6;2012;12.33;8;6.85;26.4;4;
12320;47.6434;-2.511;RCP2.6;2013;12.26;4;7.56;19.52;1;
12320;47.6434;-2.511;RCP2.6;2014;12.18;7;6.28;27.2;5;
12320;47.6434;-2.511;RCP2.6;2015;12.35;8;6.68;23.08;1;
12320;47.6434;-2.511;RCP2.6;2016;12.52;10;8.88;31.34;7;
12320;47.6434;-2.511;RCP2.6;2017;12.68;9;8.82;30.06;7;
12320;47.6434;-2.511;RCP2.6;2018;11.62;9;9.34;28.86;6;
12320;47.6434;-2.511;RCP2.6;2019;11.26;12;9.64;34.63;8;
12320;47.6434;-2.511;RCP2.6;2020;11.33;11;7.51;27.44;5;
12321;47.6478;-2.4047;RCP2.6;2006;11.15;3;6.6;17.33;3;
12321;47.6478;-2.4047;RCP2.6;2007;11.92;8;6.76;26.95;6;
12321;47.6478;-2.4047;RCP2.6;2008;11.38;9;9.03;24.29;3;
12321;47.6478;-2.4047;RCP2.6;2009;12.44;4;7.65;19.98;0;
12321;47.6478;-2.4047;RCP2.6;2010;11.86;7;8.58;28.7;5;
12321;47.6478;-2.4047;RCP2.6;2011;11.96;4;7.22;19.37;1;
12321;47.6478;-2.4047;RCP2.6;2012;12.33;8;7;22.93;3;
12321;47.6478;-2.4047;RCP2.6;2013;12.26;2;7.02;17.33;2;
12321;47.6478;-2.4047;RCP2.6;2014;12.12;5;5.47;27.35;4;
12321;47.6478;-2.4047;RCP2.6;2015;12.4;5;6.23;20.66;1;
12321;47.6478;-2.4047;RCP2.6;2016;12.52;9;8;27.74;6;
12321;47.6478;-2.4047;RCP2.6;2017;12.7;11;7.93;29.73;7;
12321;47.6478;-2.4047;RCP2.6;2018;11.61;8;9.08;27.01;5;
12321;47.6478;-2.4047;RCP2.6;2019;11.23;12;8.98;34.07;8;
12321;47.6478;-2.4047;RCP2.6;2020;11.37;9;7.26;29.29;5;
12322;47.6521;-2.2984;RCP2.6;2006;11.23;4;6.2;20.32;3;
12322;47.6521;-2.2984;RCP2.6;2007;11.98;8;7.37;24.68;5;
12322;47.6521;-2.2984;RCP2.6;2008;11.46;8;8.74;22.77;2;
12322;47.6521;-2.2984;RCP2.6;2009;12.55;6;7.49;21.42;0;
12322;47.6521;-2.2984;RCP2.6;2010;11.93;7;7.85;27.79;5;
12322;47.6521;-2.2984;RCP2.6;2011;12.05;5;7.08;20.41;3;
12322;47.6521;-2.2984;RCP2.6;2012;12.39;7;7.63;25;4;
12322;47.6521;-2.2984;RCP2.6;2013;12.34;2;7.16;17.34;2;
12322;47.6521;-2.2984;RCP2.6;2014;12.18;5;5.77;26.27;4;
12322;47.6521;-2.2984;RCP2.6;2015;12.5;4;6.1;19.79;1;
12322;47.6521;-2.2984;RCP2.6;2016;12.6;8;8.38;25.51;7;
12322;47.6521;-2.2984;RCP2.6;2017;12.76;14;8.1;27.99;5;
12322;47.6521;-2.2984;RCP2.6;2018;11.7;8;9.8;24.89;4;
12322;47.6521;-2.2984;RCP2.6;2019;11.3;13;9.03;31.75;6;
12322;47.6521;-2.2984;RCP2.6;2020;11.5;9;7.27;28.9;5;
