#-----------------------------------------------------------------------------
# Date d'extraction : 24/04/2025 - 12h35 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     REF : référence
#-----------------------------------------------------------------------------
# Période extraite : de 1990 à 2005
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     TAV : Température moyenne journalière (°C)
#     PN20MM : Nombre de jours de fortes précipitations (jour(s))
#     PQ90 : précipitations intenses (Q90) (mm)
#     PQ99 : précipitations extrêmes (Q99) (mm)
#     RR99 : nombre de jours de précipitations intenses (nombre de jours où on dépasse le Q99) (jour(s))
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Annee;TAV;PN20MM;PQ90;PQ99;RR99;
#-----------------------------------------------------------------------------
Point;Latitude;Longitude;Contexte;Annee;TAV;PN20MM;PQ90;PQ99;RR99;
12315;47.6201;-3.0421;REF;1995;12.14;4;6.8;19.75;2;
12315;47.6201;-3.0421;REF;1996;12.45;5;5.34;23.01;5;
12315;47.6201;-3.0421;REF;1997;11.93;3;6.9;17.77;3;
12315;47.6201;-3.0421;REF;1998;12.04;2;8.42;17.96;1;
12315;47.6201;-3.0421;REF;1999;12.77;4;5.71;18.92;3;
12315;47.6201;-3.0421;REF;2000;12.94;8;7.88;26.39;5;
12315;47.6201;-3.0421;REF;2001;11.67;6;8.57;21.21;3;
12315;47.6201;-3.0421;REF;2002;12.15;5;8.32;22.69;5;
12315;47.6201;-3.0421;REF;2003;12.72;5;7.49;22.21;3;
12315;47.6201;-3.0421;REF;2004;12.92;7;9.38;24.43;6;
12315;47.6201;-3.0421;REF;2005;12.32;6;4.8;21.56;2;
12316;47.6249;-2.9359;REF;1990;12.7;10;8.6;24.02;8;
12316;47.6249;-2.9359;REF;1991;11.67;4;6.82;18.3;1;
12316;47.6249;-2.9359;REF;1992;11.58;3;7.9;19.01;2;
12316;47.6249;-2.9359;REF;1993;12.01;5;7.49;21.01;3;
12316;47.6249;-2.9359;REF;1994;11.34;5;8.73;21.74;4;
12316;47.6249;-2.9359;REF;1995;12.12;5;6.95;20.48;2;
12316;47.6249;-2.9359;REF;1996;12.46;5;5.94;21.91;4;
12316;47.6249;-2.9359;REF;1997;11.93;3;7.27;17.88;3;
12316;47.6249;-2.9359;REF;1998;12.01;3;8.62;17.46;1;
12316;47.6249;-2.9359;REF;1999;12.79;4;6.06;17.55;3;
12316;47.6249;-2.9359;REF;2000;12.97;9;7.6;25.76;8;
12316;47.6249;-2.9359;REF;2001;11.65;7;8.93;22.26;4;
12316;47.6249;-2.9359;REF;2002;12.16;6;8.19;24.1;5;
12316;47.6249;-2.9359;REF;2003;12.71;7;7.73;20.86;3;
12316;47.6249;-2.9359;REF;2004;12.89;7;9.59;24.83;7;
12316;47.6249;-2.9359;REF;2005;12.38;6;4.8;21.84;3;
12317;47.6297;-2.8297;REF;1990;12.65;9;8.06;26.94;7;
12317;47.6297;-2.8297;REF;1991;11.64;3;6.86;16.87;2;
12317;47.6297;-2.8297;REF;1992;11.5;3;8.1;19.39;2;
12317;47.6297;-2.8297;REF;1993;12.01;3;7.46;17.98;2;
12317;47.6297;-2.8297;REF;1994;11.33;5;9.11;22.32;4;
12317;47.6297;-2.8297;REF;1995;12.08;7;6.9;22.63;4;
12317;47.6297;-2.8297;REF;1996;12.43;3;5.69;19.17;3;
12317;47.6297;-2.8297;REF;1997;11.9;3;7.4;16.52;2;
12317;47.6297;-2.8297;REF;1998;11.99;2;8.11;19.45;1;
12317;47.6297;-2.8297;REF;1999;12.71;2;6.02;17.7;2;
12317;47.6297;-2.8297;REF;2000;12.93;12;6.83;26.52;9;
12317;47.6297;-2.8297;REF;2001;11.65;8;8.51;27.2;6;
12317;47.6297;-2.8297;REF;2002;12.15;4;7.84;20.98;4;
12317;47.6297;-2.8297;REF;2003;12.65;10;7.62;24.12;5;
12317;47.6297;-2.8297;REF;2004;12.89;9;8.95;25.02;7;
12317;47.6297;-2.8297;REF;2005;12.31;4;4.95;20.22;3;
12318;47.6344;-2.7235;REF;1990;12.75;9;8.01;26.79;7;
12318;47.6344;-2.7235;REF;1991;11.73;3;6.81;16.76;2;
12318;47.6344;-2.7235;REF;1992;11.6;3;8.04;19.27;2;
12318;47.6344;-2.7235;REF;1993;12.1;3;7.42;17.88;2;
12318;47.6344;-2.7235;REF;1994;11.43;5;9.06;22.23;4;
12318;47.6344;-2.7235;REF;1995;12.19;7;6.86;22.52;4;
12318;47.6344;-2.7235;REF;1996;12.53;3;5.65;19.08;3;
